Source,Target,Weight,Type
sen_her_f,sen_oed,43,undirected
sen_her_f,sen_phaed,65,undirected
sen_her_f,sen_thy,12,undirected
sen_her_f,sen_tro,45,undirected
sen_her_o,sen_her_f,119,undirected
sen_her_o,sen_med,48,undirected
sen_her_o,sen_oed,7,undirected
sen_her_o,sen_phaed,1,undirected
sen_her_o,sen_phoen,23,undirected
sen_her_o,sen_thy,15,undirected
sen_her_o,sen_tro,94,undirected
sen_med,sen_ag,5,undirected
sen_med,sen_her_f,7,undirected
sen_med,sen_her_o,48,undirected
sen_med,sen_oct,2,undirected
sen_med,sen_oed,2,undirected
sen_med,sen_phaed,68,undirected
sen_med,sen_phoen,76,undirected
sen_med,sen_thy,35,undirected
sen_oct,sen_ag,20,undirected
sen_oct,sen_her_f,16,undirected
sen_oct,sen_med,2,undirected
sen_oct,sen_oed,24,undirected
sen_oct,sen_phaed,17,undirected
sen_oct,sen_phoen,1,undirected
sen_oct,sen_tro,41,undirected
sen_oed,sen_ag,69,undirected
sen_oed,sen_her_f,43,undirected
sen_oed,sen_her_o,7,undirected
sen_oed,sen_med,2,undirected
sen_oed,sen_oct,24,undirected
sen_oed,sen_phaed,119,undirected
sen_oed,sen_thy,7,undirected
sen_oed,sen_tro,4,undirected
sen_phaed,sen_ag,12,undirected
sen_phaed,sen_her_f,65,undirected
sen_phaed,sen_her_o,1,undirected
sen_phaed,sen_med,68,undirected
sen_phaed,sen_oct,17,undirected
sen_phaed,sen_oed,119,undirected
sen_phaed,sen_thy,1,undirected
sen_phaed,sen_tro,3,undirected
sen_phoen,sen_her_o,23,undirected
sen_phoen,sen_med,76,undirected
sen_phoen,sen_oct,1,undirected
sen_phoen,sen_thy,97,undirected
sen_phoen,sen_tro,2,undirected
sen_thy,sen_her_f,12,undirected
sen_thy,sen_her_o,15,undirected
sen_thy,sen_med,35,undirected
sen_thy,sen_oed,7,undirected
sen_thy,sen_phaed,1,undirected
sen_thy,sen_phoen,97,undirected
sen_thy,sen_tro,8,undirected
sen_tro,sen_ag,85,undirected
sen_tro,sen_her_f,45,undirected
sen_tro,sen_her_o,94,undirected
sen_tro,sen_oct,41,undirected
sen_tro,sen_oed,4,undirected
sen_tro,sen_phaed,3,undirected
sen_tro,sen_phoen,2,undirected
sen_tro,sen_thy,8,undirected
stat_achill,stat_silv_3,12,undirected
stat_achill,stat_silv_5,16,undirected
stat_achill,stat_theb_11,6,undirected
stat_achill,stat_theb_12,7,undirected
stat_achill,stat_theb_4,6,undirected
stat_achill,stat_theb_6,26,undirected
stat_achill,stat_theb_7,42,undirected
stat_achill,stat_theb_8,8,undirected
stat_achill,stat_theb_9,7,undirected
stat_silv_1,stat_silv_2,60,undirected
stat_silv_1,stat_silv_3,120,undirected
stat_silv_1,stat_silv_4,87,undirected
stat_silv_1,stat_silv_5,34,undirected
stat_silv_2,stat_silv_1,60,undirected
stat_silv_2,stat_silv_3,29,undirected
stat_silv_2,stat_silv_4,23,undirected
stat_silv_2,stat_silv_5,71,undirected
stat_silv_3,stat_achill,12,undirected
stat_silv_3,stat_silv_1,120,undirected
stat_silv_3,stat_silv_2,29,undirected
stat_silv_3,stat_silv_4,71,undirected
stat_silv_3,stat_silv_5,89,undirected
stat_silv_4,stat_silv_1,87,undirected
stat_silv_4,stat_silv_2,23,undirected
stat_silv_4,stat_silv_3,71,undirected
stat_silv_4,stat_silv_5,13,undirected
stat_silv_5,stat_achill,16,undirected
stat_silv_5,stat_silv_1,34,undirected
stat_silv_5,stat_silv_2,71,undirected
stat_silv_5,stat_silv_3,89,undirected
stat_silv_5,stat_silv_4,13,undirected
stat_theb_1,stat_theb_2,64,undirected
stat_theb_1,stat_theb_3,4,undirected
stat_theb_1,stat_theb_4,39,undirected
stat_theb_1,stat_theb_5,39,undirected
stat_theb_10,stat_theb_11,115,undirected
stat_theb_10,stat_theb_12,31,undirected
stat_theb_10,stat_theb_2,39,undirected
stat_theb_10,stat_theb_3,48,undirected
stat_theb_10,stat_theb_4,7,undirected
stat_theb_10,stat_theb_5,45,undirected
stat_theb_10,stat_theb_6,12,undirected
stat_theb_10,stat_theb_7,21,undirected
stat_theb_10,stat_theb_8,56,undirected
stat_theb_10,stat_theb_9,1,undirected
stat_theb_11,stat_achill,6,undirected
stat_theb_11,stat_theb_10,115,undirected
stat_theb_11,stat_theb_12,86,undirected
stat_theb_11,stat_theb_3,2,undirected
stat_theb_11,stat_theb_5,1,undirected
stat_theb_11,stat_theb_7,18,undirected
stat_theb_11,stat_theb_8,11,undirected
stat_theb_11,stat_theb_9,27,undirected
stat_theb_12,stat_achill,7,undirected
stat_theb_12,stat_theb_10,31,undirected
stat_theb_12,stat_theb_11,86,undirected
stat_theb_12,stat_theb_3,5,undirected
stat_theb_12,stat_theb_7,4,undirected
stat_theb_12,stat_theb_8,18,undirected
stat_theb_2,stat_theb_1,64,undirected
stat_theb_2,stat_theb_10,39,undirected
stat_theb_2,stat_theb_3,22,undirected
stat_theb_2,stat_theb_4,12,undirected
stat_theb_2,stat_theb_5,29,undirected
stat_theb_2,stat_theb_8,3,undirected
stat_theb_3,stat_theb_1,4,undirected
stat_theb_3,stat_theb_10,48,undirected
stat_theb_3,stat_theb_11,2,undirected
stat_theb_3,stat_theb_12,5,undirected
stat_theb_3,stat_theb_2,22,undirected
stat_theb_3,stat_theb_4,20,undirected
stat_theb_3,stat_theb_5,86,undirected
stat_theb_3,stat_theb_6,2,undirected
stat_theb_4,stat_achill,6,undirected
stat_theb_4,stat_theb_1,39,undirected
stat_theb_4,stat_theb_10,7,undirected
stat_theb_4,stat_theb_2,12,undirected
stat_theb_4,stat_theb_3,20,undirected
stat_theb_4,stat_theb_5,113,undirected
stat_theb_4,stat_theb_6,4,undirected
stat_theb_4,stat_theb_7,35,undirected
stat_theb_4,stat_theb_9,15,undirected
stat_theb_5,stat_theb_1,39,undirected
stat_theb_5,stat_theb_10,45,undirected
stat_theb_5,stat_theb_11,1,undirected
stat_theb_5,stat_theb_2,29,undirected
stat_theb_5,stat_theb_3,86,undirected
stat_theb_5,stat_theb_4,113,undirected
stat_theb_5,stat_theb_6,7,undirected
stat_theb_6,stat_achill,26,undirected
stat_theb_6,stat_theb_10,12,undirected
stat_theb_6,stat_theb_3,2,undirected
stat_theb_6,stat_theb_4,4,undirected
stat_theb_6,stat_theb_5,7,undirected
stat_theb_6,stat_theb_7,103,undirected
stat_theb_6,stat_theb_8,32,undirected
stat_theb_6,stat_theb_9,106,undirected
stat_theb_7,stat_achill,42,undirected
stat_theb_7,stat_theb_10,21,undirected
stat_theb_7,stat_theb_11,18,undirected
stat_theb_7,stat_theb_12,4,undirected
stat_theb_7,stat_theb_4,35,undirected
stat_theb_7,stat_theb_6,103,undirected
stat_theb_7,stat_theb_8,77,undirected
stat_theb_7,stat_theb_9,26,undirected
stat_theb_8,stat_achill,8,undirected
stat_theb_8,stat_theb_10,56,undirected
stat_theb_8,stat_theb_11,11,undirected
stat_theb_8,stat_theb_12,18,undirected
stat_theb_8,stat_theb_2,3,undirected
stat_theb_8,stat_theb_6,32,undirected
stat_theb_8,stat_theb_7,77,undirected
stat_theb_8,stat_theb_9,48,undirected
stat_theb_9,stat_achill,7,undirected
stat_theb_9,stat_theb_10,1,undirected
stat_theb_9,stat_theb_11,27,undirected
stat_theb_9,stat_theb_4,15,undirected
stat_theb_9,stat_theb_6,106,undirected
stat_theb_9,stat_theb_7,26,undirected
stat_theb_9,stat_theb_8,48,undirected
